data;
param n:= 9;
param M:= 99999;
param c: 0 1 2 3 4 5 6 7 8 
:=
0 0 0 0 0 0 0 0 0 1000000 
1 2147483647 0 100 200 75 0 300 100 0 
2 2147483647 400 0 500 325 400 600 0 0 
3 2147483647 700 800 0 550 700 900 800 0 
4 2147483647 2147483647 250 225 0 275 525 250 0 
5 2147483647 2147483647 100 200 2147483647 0 2147483647 2147483647 0 
6 2147483647 2147483647 1100 1200 1075 1000 0 1100 0 
7 2147483647 2147483647 0 500 325 400 600 0 0 
8 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 2147483647 0 
;
param p: 0 1 2 3 4 5 6 7 8 
:=
0 0 1 1 1 1 1 1 1 1 
1 0 0 0 0 1 1 1 1 1 
2 0 0 0 0 0 0 0 0 1 
3 0 0 0 0 0 0 0 0 1 
4 0 0 0 0 0 1 0 0 1 
5 0 0 0 0 0 0 0 0 1 
6 0 0 0 0 0 1 0 0 1 
7 0 0 0 0 0 1 0 0 1 
8 0 0 0 0 0 0 0 0 0 
;

end;
